카테고리,서비스명,무료/유료 구분,요금제 특징,장점 (Advantage),단점 (Disadvantage),✨ 추천 상황 (Best for...),,,프롬프트 작성법 (최적화),,,
1. 번역 & 검색,DeepL,Freemium,"무료 제한적, 유료(Pro) 보안 및 무제한 번역",문맥 보존 및 비즈니스 뉘앙스 최적화,지원 언어 수가 경쟁사 대비 적음,격식 있는 비즈니스 메일이나 계약서 번역 시,,,[Role] 전문 번역가로서 [Target] 한국 IT 타겟에 맞춰 [Constraint] 구어체로 번역해줘.,,,
1. 번역 & 검색,Genspark,Freemium,"무료 사용 가능, 헤비 유저용 구독제",다중 모델 기반 커스텀 요약 페이지 생성,정보 과부하로 핵심 파악 지연 가능,특정 주제에 대한 종합 시장 조사 리포트 작성 시,,,[Objective] 최신 트렌드를 [Format] 비교 표와 타임라인이 포함된 리포트로 요약해줘.,,,
1. 번역 & 검색,Perplexity,Freemium,Pro 모델 선택 시 유료(월 $20),실시간 웹 검색 및 정확한 출처 제공,창의적 글쓰기보다 사실 확인에 치중,최신 뉴스나 논문의 근거를 빠르게 확인하고 싶을 때,,,[Context] 최근 24시간 뉴스를 기반으로 [Instruction] 사건의 인과관계를 분석해줘.,,,
2. 유틸리티,Firecrawl,Freemium,API 호출 횟수 기반 과제,웹사이트를 LLM용 마크다운으로 즉시 변환,스캔 비용 발생 및 대규모 작업 시 부담,AI 학습을 위해 웹 데이터를 구조화하여 수집할 때,,,[Input] URL 내에서 [Filter] 핵심 데이터만 추출해서 [Format] JSON 구조로 정리해줘.,,,
2. 유틸리티,Jina Reader,Free,현재 무료(API 오픈),URL 접두어만으로 간편하게 텍스트 추출,복잡한 인터랙션 사이트 추출 한계,뉴스 기사나 블로그 본문만 깔끔하게 읽어오고 싶을 때,,,(URL 앞에 r.jina.ai/를 붙여 Raw Data 확보 후 LLM 입력),,,
2. 유틸리티,Cursor,Freemium,"개인 무료, 프로(월 $20) 무제한 추론",코드 전체 맥락 파악 및 자동 완성,유료 플랜의 인덱싱 용량 제한,AI와 협업하여 버그 수정이나 코드 최적화 작업 시,,,[Code Context] 파일 구조를 파악해서 [Instruction] 성능 최적화 리팩토링 안을 제시해줘.,,,
3. 음성 합성,ElevenLabs,Freemium,글자 수(Character) 기반 과금,인간적 디테일(숨소리 등) 표현 정점,한국어 발음 시 미세한 영어 억양 잔존,고품질 오디오북이나 몰입감 있는 나레이션 제작 시,,,[Tone] 나레이션 톤으로 [Control] 문장 사이 호흡(Pause)을 길게 두어 긴장감 조성해줘.,,,
3. 음성 합성,Cartesia,Paid (Trial),지연시간 최적화 기업용 API 중심,0.1초 내외의 초저지연 실시간 합성,ElevenLabs 대비 감정의 폭이 좁음,응답 속도가 중요한 실시간 AI 상담 서비스 구축 시,,,[Role] 실시간 상담원으로서 [Instruction] 텍스트를 지연 없이 자연스럽게 읽어줘.,,,
3. 음성 합성,Veed.io,Freemium,워터마크 제거 시 유료 구독,영상 편집과 음성 합성 동시 처리 가능,전문 오디오 툴 대비 정밀 설정 부족,영상 편집과 나레이션을 한 번에 빠르게 해결할 때,,,[Scenario] 쇼츠용 대본이야. [Action] 타이밍에 맞춰 배경음과 목소리를 합성해줘.,,,
4. 아바타 & 비디오,HeyGen,Paid (Trial),크레딧 기반 (고가형 서비스),압도적인 립싱크 및 아바타 모션 품질,고화질 렌더링 시 크레딧 소모가 큼,얼굴 노출 없이 신뢰감 있는 홍보 영상을 만들 때,,,[Persona] 아나운서가 [Action] 미소와 손동작을 섞어 발표하는 영상을 만들어줘.,,,
4. 아바타 & 비디오,Synthesia,Paid,월 구독형(개인/기업),기업 교육용 템플릿 및 다국어 지원 풍부,창의적 연출보다 다소 정형화된 느낌,사내 교육용 가이드나 정보 전달형 영상을 만들 때,,,[Context] 온보딩 영상이야. [Format] 1인칭 시점의 가이드 대사를 아바타에 입혀줘.,,,
4. 아바타 & 비디오,Luma Machine,Freemium,일일 무료 생성량 제공 후 유료,고퀄리티 비디오 생성 (텍스트/이미지 기반),물리 법칙 위배(Morphing) 현상 발생 가능,SNS 광고용 임팩트 있는 짧은 영상 소스가 필요할 때,,,[Subject] F1 차량 주행 장면을 [Camera] 드론 뷰 시점으로 역동적이게 생성해줘.,,,
5. 자동화,Make,Freemium,작업량(Operations) 기반 과금,복잡한 분기(Logic)를 시각적으로 설계,초보자에게는 다소 높은 진입 장벽,여러 앱을 연결하여 반복 업무를 자동화하고 싶을 때,,,[Trigger] 메일 수신 시 [Logic] 첨부파일 확인 후 [Action] 요약본을 Notion에 저장해줘.,,,
5. 자동화,Bardeen,Freemium,"로컬 실행 무료, 자동화 실행 유료",브라우저 내 에이전트가 반복 업무 대행,클라우드 실행보다 로컬 브라우저 의존적,웹 페이지의 데이터를 즉시 엑셀/노션으로 옮길 때,,,[Input] 현재 채용 페이지에서 [Action] 후보자 명단을 엑셀로 바로 추출해줘.,,,
6. 로컬 AI,Ollama,Free,오픈소스 무료,간결한 모델 배포 및 로컬 보안성 우수,CLI 환경(터미널) 숙련도가 필요함,보안이 중요한 민감 데이터를 로컬에서 처리할 때,,,[System] 너는 로컬 코딩 비서야. [Efficiency] 설명 없이 코드만 출력해.,,,
6. 로컬 AI,LM Studio,Free,오픈소스 무료,모델 검색 및 하드웨어 설정 GUI 제공,시스템 자원(VRAM) 점유율이 매우 높음,다양한 오픈소스 모델을 성능에 맞춰 테스트할 때,,,[Hardware] 내 GPU 성능에 맞춰 [Setup] 컨텍스트 길이를 최대치로 설정해줘.,,,
7. 연구 & 리서치,Consensus,Freemium,"AI 검색 무료, 요약 및 필터 유료",논문 인용(Citation) 기반의 높은 신뢰도,최신 시사나 트렌드 데이터는 부족함,과학적 근거가 필요한 학술적 보고서 작성 시,,,[Objective] 의학 주제에 대해 [Constraint] 동료 검토 논문만 요약해서 근거 제시해줘.,,,
7. 연구 & 리서치,Elicit,Freemium,크레딧 기반 심화 분석 제공,논문 데이터 자동 요약 및 테이블화,학술 자료 외 일반 검색은 불가능함,수천 개의 논문을 분석하여 데이터로 정리할 때,,,[Query] 연구 주제 관련 논문을 찾고 [Format] 실험 대상과 결과 수치별로 정리해줘.,,,
8. 캐릭터 챗봇,Character.ai,Free,"기본 무료, 대기열 패스 유료(Plus)",독보적인 서사 유지 및 팬덤 커뮤니티,강한 검열로 인해 표현의 한계가 있음,특정 인물이나 가상 캐릭터와 대화하고 싶을 때,,,[Persona] 셜록 홈즈로서 [Action] 대화 중 상대의 모순을 논리적으로 파고들어줘.,,,
8. 캐릭터 챗봇,JanitorAI,Free/Paid,"자체 모델 무료, 외부 API 사용 시 과금",검열 없는 자유로운 대화 및 외부 연동,UI가 다소 조잡하고 자극적인 콘텐츠 위주,창의적 롤플레잉이나 무검열 대화가 필요할 때,,,[Identity] 악역으로서 [Constraint] 절대로 내 부탁을 쉽게 들어주지 않는 톤 유지해.,,,
9. 대학생활,NotebookLM,Free,구글 서비스 내 무료 이용 가능,업로드한 소스 내에서만 답변 (정확도),구글 생태계 외 외부 링크 연동 제한,강의 노트나 서적을 학습하여 퀴즈를 만들 때,,,[Data] 강의록 기반으로 [Objective] 예상 질문 10개를 답안과 함께 추출해줘.,,,
9. 대학생활,Gamma,Freemium,"크레딧 기반 생성, 유료 시 무제한",텍스트만으로 디자인된 PPT 자동 생성,디자인의 세밀한 커스터마이징이 어려움,발표 자료의 뼈대와 디자인을 1분 만에 완성할 때,,,[Topic] 대학생 발표 주제로 [Tone] 트렌디하고 시각 자료가 풍부한 슬라이드 구성해줘.,,,
10. 모델 & 추론,GPT-5 / o1,Freemium,Plus 구독(월 $20) 필수적 수준,복잡한 단계별 추론 및 수학/코딩 정점,답변 도출까지 생각하는 시간이 소요됨,어려운 수학 문제나 고도의 알고리즘 설계 시,,,[Constraint] 답을 내기 전 반드시 [Thinking Step] 논리 검증을 거쳐 최종안 제시해줘.,,,
10. 모델 & 추론,Claude 3.5/4,Freemium,Pro 구독(월 $20) 시 사용량 증가,인간적인 문체 및 방대한 문서 분석 능력,하루 사용량 제한이 경쟁사 대비 엄격함,긴 문서를 요약하거나 자연스러운 초안 작성 시,,,[Input] 보고서의 [Objective] 핵심 인사이트를 도출하고 [Tone] 비즈니스 메일 톤 요약해줘.,,,
,,,,,,,,,,,,
